algorithm_name,env_n,size,success,states,time,seed,solution
FC,98,8,1,9,0.000632,18,"{0: 1, 1: 4, 2: 6, 3: 0, 4: 2, 5: 7, 6: 5, 7: 3}"
BT,99,8,1,59,0.000117,19,"{0: 5, 1: 3, 2: 1, 3: 7, 4: 4, 5: 6, 6: 0, 7: 2}"
FC,100,8,1,10,0.000782,19,"{0: 5, 1: 3, 2: 1, 3: 7, 4: 4, 5: 6, 6: 0, 7: 2}"
BT,101,8,1,194,0.000256,20,"{0: 1, 1: 5, 2: 0, 3: 6, 4: 3, 5: 7, 6: 2, 7: 4}"
FC,102,8,1,22,0.001579,20,"{0: 1, 1: 5, 2: 0, 3: 6, 4: 3, 5: 7, 6: 2, 7: 4}"
BT,103,8,1,98,0.000138,21,"{0: 4, 1: 2, 2: 7, 3: 3, 4: 6, 5: 0, 6: 5, 7: 1}"
FC,104,8,1,12,0.000839,21,"{0: 4, 1: 2, 2: 7, 3: 3, 4: 6, 5: 0, 6: 5, 7: 1}"
BT,105,8,1,52,0.000166,22,"{0: 6, 1: 3, 2: 1, 3: 7, 4: 5, 5: 0, 6: 2, 7: 4}"
FC,106,8,1,9,0.000561,22,"{0: 6, 1: 3, 2: 1, 3: 7, 4: 5, 5: 0, 6: 2, 7: 4}"
BT,107,8,1,180,0.000257,23,"{0: 7, 1: 3, 2: 0, 3: 2, 4: 5, 5: 1, 6: 6, 7: 4}"
FC,108,8,1,21,0.001261,23,"{0: 7, 1: 3, 2: 0, 3: 2, 4: 5, 5: 1, 6: 6, 7: 4}"
BT,109,8,1,140,0.000266,24,"{0: 3, 1: 7, 2: 4, 3: 2, 4: 0, 5: 6, 6: 1, 7: 5}"
FC,110,8,1,22,0.001536,24,"{0: 3, 1: 7, 2: 4, 3: 2, 4: 0, 5: 6, 6: 1, 7: 5}"
BT,111,8,1,38,0.00012,25,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 3, 5: 7, 6: 4, 7: 2}"
FC,112,8,1,10,0.000783,25,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 3, 5: 7, 6: 4, 7: 2}"
BT,113,8,1,256,0.000394,26,"{0: 2, 1: 7, 2: 3, 3: 6, 4: 0, 5: 5, 6: 1, 7: 4}"
